"warning id","project","bug_pattern","commit","last_commit_checked","?","bug pattern category","package","class","field","method","type","expr","idents","start_line","end_line","label (automatically determined)","commit url","commit url (of the version compared to, if closed)","code (if open)","label"
"2045","lucene-solr","RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE","A","last","null","STYLE","org.apache.lucene.queryparser.flexible.messages","org.apache.lucene.queryparser.flexible.messages.NLS","null","validateMessage","null","null","null,obj","177","177","close","https://github.com/apache/lucene-solr/tree/c0600cc6dc84d20ab47cc321cd0e893a11c0f303//modules/queryparser/src/java/org/apache/lucene/queryparser/flexible/messages/NLS.java#L177","https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//modules/queryparser/src/java/org/apache/lucene/queryparser/flexible/messages/NLS.java","","unknown"
"2083","lucene-solr","NP_EQUALS_SHOULD_HANDLE_NULL_ARGUMENT","A","last","null","BAD_PRACTICE","org.apache.lucene.codecs","org.apache.lucene.codecs.BlockTermsReader$FieldAndTerm","null","equals","null","","","-2","-2","close","https://github.com/apache/lucene-solr/tree/c0600cc6dc84d20ab47cc321cd0e893a11c0f303//lucene/src/java/org/apache/lucene/codecs/BlockTermsReader.java#L-2","https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//lucene/src/java/org/apache/lucene/codecs/BlockTermsReader.java","","unknown"
"2246","lucene-solr","NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE","A","last","null","STYLE","org.apache.lucene.store","org.apache.lucene.store.TestRAMDirectory","null","rmDir","null","files","files,i,i,length","163","163","close","https://github.com/apache/lucene-solr/tree/c0600cc6dc84d20ab47cc321cd0e893a11c0f303//lucene/src/test/org/apache/lucene/store/TestRAMDirectory.java#L163","https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//lucene/src/test/org/apache/lucene/store/TestRAMDirectory.java","","unknown"
"2326","lucene-solr","NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE","A","last","null","STYLE","org.apache.lucene.benchmark.utils","org.apache.lucene.benchmark.utils.ExtractWikipedia","null","<init>","null","files","files,i,i,length","47","47","close","https://github.com/apache/lucene-solr/tree/c0600cc6dc84d20ab47cc321cd0e893a11c0f303//modules/benchmark/src/java/org/apache/lucene/benchmark/utils/ExtractWikipedia.java#L47","https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//modules/benchmark/src/java/org/apache/lucene/benchmark/utils/ExtractWikipedia.java","","unknown"
"2330","lucene-solr","NP_LOAD_OF_KNOWN_NULL_VALUE","A","last","null","STYLE","org.apache.solr.search","org.apache.solr.search.SolrQueryParser","null","getReversedWildcardFilterFactory","null","fac","fac,fac,leadingWildcards,null,containsKey","82","82","close","https://github.com/apache/lucene-solr/tree/c0600cc6dc84d20ab47cc321cd0e893a11c0f303//solr/core/src/java/org/apache/solr/search/SolrQueryParser.java#L82","https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//solr/core/src/java/org/apache/solr/search/SolrQueryParser.java","","unknown"
"2376","lucene-solr","NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE","A","last","null","STYLE","org.apache.solr.handler.admin","org.apache.solr.handler.admin.ShowFileRequestHandler","null","handleRequestBody","null","adminFile","adminFile,listFiles","158","158","close","https://github.com/apache/lucene-solr/tree/c0600cc6dc84d20ab47cc321cd0e893a11c0f303//solr/core/src/java/org/apache/solr/handler/admin/ShowFileRequestHandler.java#L158","https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//solr/core/src/java/org/apache/solr/handler/admin/ShowFileRequestHandler.java","","unknown"
"2392","lucene-solr","NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE","A","last","null","STYLE","org.apache.lucene.index","org.apache.lucene.index.TestIndexWriterOnJRECrash","null","checkIndexes","null","file","file,listFiles","140","140","close","https://github.com/apache/lucene-solr/tree/c0600cc6dc84d20ab47cc321cd0e893a11c0f303//lucene/src/test/org/apache/lucene/index/TestIndexWriterOnJRECrash.java#L140","https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//lucene/src/test/org/apache/lucene/index/TestIndexWriterOnJRECrash.java","","unknown"
"2413","lucene-solr","NP_NULL_ON_SOME_PATH","A","last","null","CORRECTNESS","org.apache.lucene.index","org.apache.lucene.index.ThreadedIndexingAndSearchingTestCase$1","null","run","null","doc","doc,removeField","225","225","close","https://github.com/apache/lucene-solr/tree/c0600cc6dc84d20ab47cc321cd0e893a11c0f303//lucene/src/test-framework/java/org/apache/lucene/index/ThreadedIndexingAndSearchingTestCase.java#L225","https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//lucene/src/test-framework/java/org/apache/lucene/index/ThreadedIndexingAndSearchingTestCase.java","","unknown"
"2504","lucene-solr","RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE","A","last","null","STYLE","org.apache.lucene.index","org.apache.lucene.index.TestDocValuesIndexing","null","indexValues","null","bytesRef","bytesRef,null","501","501","close","https://github.com/apache/lucene-solr/tree/c0600cc6dc84d20ab47cc321cd0e893a11c0f303//lucene/src/test/org/apache/lucene/index/TestDocValuesIndexing.java#L501","https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//lucene/src/test/org/apache/lucene/index/TestDocValuesIndexing.java","","unknown"
"2690","lucene-solr","NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE","A","last","null","STYLE","org.apache.lucene.index","org.apache.lucene.index.TestIndexWriterLockRelease","null","tearDown","null","files","files,i,length","62","62","close","https://github.com/apache/lucene-solr/tree/c0600cc6dc84d20ab47cc321cd0e893a11c0f303//lucene/src/test/org/apache/lucene/index/TestIndexWriterLockRelease.java#L62","https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//lucene/src/test/org/apache/lucene/index/TestIndexWriterLockRelease.java","","unknown"
"2735","lucene-solr","RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE","A","last","null","STYLE","org.apache.lucene.index","org.apache.lucene.index.CheckIndex","null","testTermIndex","null","if (fieldTerms != null) {","","983","983","close","https://github.com/apache/lucene-solr/tree/c0600cc6dc84d20ab47cc321cd0e893a11c0f303//lucene/src/java/org/apache/lucene/index/CheckIndex.java#L983","https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//lucene/src/java/org/apache/lucene/index/CheckIndex.java","","unknown"
"1833","lucene-solr","RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE","B","last","null","STYLE","org.apache.solr.update","org.apache.solr.update.DocumentBuilder","null","addField","null","copyFields","copyFields,copyFields,null,null,sfield,size","146","146","close","https://github.com/apache/lucene-solr/tree/9e82c2409d62e7be04dc4fae7c45c3712be639a2//solr/core/src/java/org/apache/solr/update/DocumentBuilder.java#L146","https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//solr/core/src/java/org/apache/solr/update/DocumentBuilder.java","","unknown"
"2191","lucene-solr","RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE","B","last","null","STYLE","org.apache.lucene.index","org.apache.lucene.index.DocumentsWriter","null","finishFlush","null","if (bufferedDeletes != null && bufferedDeletes.any()) {","","480","480","close","https://github.com/apache/lucene-solr/tree/9e82c2409d62e7be04dc4fae7c45c3712be639a2//lucene/core/src/java/org/apache/lucene/index/DocumentsWriter.java#L480","https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//lucene/core/src/java/org/apache/lucene/index/DocumentsWriter.java","","unknown"
"2375","lucene-solr","RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE","B","last","null","STYLE","org.apache.solr.search","org.apache.solr.search.ReturnFields","null","add","null","if (key==null) {","","333","333","close","https://github.com/apache/lucene-solr/tree/9e82c2409d62e7be04dc4fae7c45c3712be639a2//solr/core/src/java/org/apache/solr/search/ReturnFields.java#L333","https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//solr/core/src/java/org/apache/solr/search/ReturnFields.java","","unknown"
"2547","lucene-solr","NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE","B","last","null","STYLE","org.apache.solr.update","org.apache.solr.update.UpdateLog","null","getLogList","null","Arrays.sort(names);","","330","330","close","https://github.com/apache/lucene-solr/tree/9e82c2409d62e7be04dc4fae7c45c3712be639a2//solr/core/src/java/org/apache/solr/update/UpdateLog.java#L330","https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//solr/core/src/java/org/apache/solr/update/UpdateLog.java","","close"
"2708","lucene-solr","RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE","B","last","null","STYLE","org.apache.solr.schema","org.apache.solr.schema.CurrencyField","null","init","null","this.defaultCurrency","defaultCurrency,java,null,Currency,getInstance,util","98","98","close","https://github.com/apache/lucene-solr/tree/9e82c2409d62e7be04dc4fae7c45c3712be639a2//solr/core/src/java/org/apache/solr/schema/CurrencyField.java#L98","https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//solr/core/src/java/org/apache/solr/schema/CurrencyField.java","","close"
"2731","lucene-solr","UWF_NULL_FIELD","B","last","null","CORRECTNESS","org.apache.lucene.analysis.phonetic","org.apache.lucene.analysis.phonetic.PhoneticFilterFactory","name","null","null","","","-2","-2","close","https://github.com/apache/lucene-solr/tree/9e82c2409d62e7be04dc4fae7c45c3712be639a2//lucene/analysis/phonetic/src/java/org/apache/lucene/analysis/phonetic/PhoneticFilterFactory.java#L-2","https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//lucene/analysis/phonetic/src/java/org/apache/lucene/analysis/phonetic/PhoneticFilterFactory.java","","close"
"2955","lucene-solr","NP_NULL_ON_SOME_PATH_EXCEPTION","B","last","null","CORRECTNESS","org.apache.solr.update","org.apache.solr.update.SolrCmdDistributor$1","null","call","null","clonedRequest","clonedRequest,e,exception","335","335","close","https://github.com/apache/lucene-solr/tree/9e82c2409d62e7be04dc4fae7c45c3712be639a2//solr/core/src/java/org/apache/solr/update/SolrCmdDistributor.java#L335","https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//solr/core/src/java/org/apache/solr/update/SolrCmdDistributor.java","","unknown"
"1710","lucene-solr","RCN_REDUNDANT_NULLCHECK_WOULD_HAVE_BEEN_A_NPE","C","last","null","CORRECTNESS","org.apache.solr.core","org.apache.solr.core.ZkContainer","null","getSolrConfigFromZk","null","SystemIdResolver","SystemIdResolver,is,setSystemId","277","277","close","https://github.com/apache/lucene-solr/tree/43535fecb8455b3f9364f447e129ae05f79697e2//solr/core/src/java/org/apache/solr/core/ZkContainer.java#L277","https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//solr/core/src/java/org/apache/solr/core/ZkContainer.java","","unknown"
"1808","lucene-solr","NP_NULL_ON_SOME_PATH","C","last","null","CORRECTNESS","org.apache.lucene.search","org.apache.lucene.search.BooleanScorer","null","<init>","null","coordFactors","coordFactors,float","231","231","close","https://github.com/apache/lucene-solr/tree/43535fecb8455b3f9364f447e129ae05f79697e2//lucene/core/src/java/org/apache/lucene/search/BooleanScorer.java#L231","https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//lucene/core/src/java/org/apache/lucene/search/BooleanScorer.java","","unknown"
"1815","lucene-solr","NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE","C","last","null","STYLE","org.apache.lucene.benchmark.byTask.feeds","org.apache.lucene.benchmark.byTask.feeds.ContentItemsSource","null","collectFiles","null","Arrays","Arrays,dirFiles,sort","90","90","close","https://github.com/apache/lucene-solr/tree/43535fecb8455b3f9364f447e129ae05f79697e2//lucene/benchmark/src/java/org/apache/lucene/benchmark/byTask/feeds/ContentItemsSource.java#L90","https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//lucene/benchmark/src/java/org/apache/lucene/benchmark/byTask/feeds/ContentItemsSource.java","","unknown"
"1835","lucene-solr","NP_LOAD_OF_KNOWN_NULL_VALUE","C","last","null","STYLE","org.apache.solr.parser","org.apache.solr.parser.SolrQueryParserBase","null","getReversedWildcardFilterFactory","null","fac","fac,fac,leadingWildcards,null,containsKey","679","679","close","https://github.com/apache/lucene-solr/tree/43535fecb8455b3f9364f447e129ae05f79697e2//solr/core/src/java/org/apache/solr/parser/SolrQueryParserBase.java#L679","https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//solr/core/src/java/org/apache/solr/parser/SolrQueryParserBase.java","","open"
"1859","lucene-solr","NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE","C","last","null","STYLE","org.apache.solr.core","org.apache.solr.core.CorePropertiesLocator","null","discoverUnder","null","root","root,listFiles","130","130","close","https://github.com/apache/lucene-solr/tree/43535fecb8455b3f9364f447e129ae05f79697e2//solr/core/src/java/org/apache/solr/core/CorePropertiesLocator.java#L130","https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//solr/core/src/java/org/apache/solr/core/CorePropertiesLocator.java","","unknown"
"1896","lucene-solr","NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE","C","last","null","STYLE","org.apache.solr.util","org.apache.solr.util.AbstractSolrTestCase","null","recurseDelete","null","f","f,listFiles","135","135","close","https://github.com/apache/lucene-solr/tree/43535fecb8455b3f9364f447e129ae05f79697e2//solr/test-framework/src/java/org/apache/solr/util/AbstractSolrTestCase.java#L135","https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//solr/test-framework/src/java/org/apache/solr/util/AbstractSolrTestCase.java","","unknown"
"1970","lucene-solr","NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE","C","last","null","STYLE","org.apache.lucene.benchmark.byTask.feeds","org.apache.lucene.benchmark.byTask.feeds.DirContentSource$Iterator","null","push","null","push(f.listFiles(new FileFilter() {","","108","108","close","https://github.com/apache/lucene-solr/tree/43535fecb8455b3f9364f447e129ae05f79697e2//lucene/benchmark/src/java/org/apache/lucene/benchmark/byTask/feeds/DirContentSource.java#L108","https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//lucene/benchmark/src/java/org/apache/lucene/benchmark/byTask/feeds/DirContentSource.java","","unknown"
"2082","lucene-solr","NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE","C","last","null","STYLE","org.apache.lucene.benchmark.utils","org.apache.lucene.benchmark.utils.ExtractReuters","null","<init>","null","outputDir","outputDir,listFiles","47","47","close","https://github.com/apache/lucene-solr/tree/43535fecb8455b3f9364f447e129ae05f79697e2//lucene/benchmark/src/java/org/apache/lucene/benchmark/utils/ExtractReuters.java#L47","https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//lucene/benchmark/src/java/org/apache/lucene/benchmark/utils/ExtractReuters.java","","close"
"2133","lucene-solr","RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE","C","last","null","STYLE","org.apache.solr.search","org.apache.solr.search.SolrReturnFields","null","add","null","if (key==null) {","","330","330","close","https://github.com/apache/lucene-solr/tree/43535fecb8455b3f9364f447e129ae05f79697e2//solr/core/src/java/org/apache/solr/search/SolrReturnFields.java#L330","https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//solr/core/src/java/org/apache/solr/search/SolrReturnFields.java","","close"
"2145","lucene-solr","RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE","C","last","null","STYLE","org.apache.solr.handler.admin","org.apache.solr.handler.admin.CollectionsHandler","null","handleCreateAction","null","name","name,null","301","301","close","https://github.com/apache/lucene-solr/tree/43535fecb8455b3f9364f447e129ae05f79697e2//solr/core/src/java/org/apache/solr/handler/admin/CollectionsHandler.java#L301","https://github.com/apache/lucene-solr/tree/3291ef884d26e3f8cb43707f2acdf674f3e51c01//solr/core/src/java/org/apache/solr/handler/admin/CollectionsHandler.java","","unknown"
