F72,F54,F55,F25,F26,F62,F65,F64,F67,F34,F66,F69,F68,F101,F102,F103,F104,F105,F107,F108,F16-def,F16-T,F16-Tuple1,F16-Boolean,F16-NA,F16-Either<L R>,F16-void,F16-byte[],F16-int,F16-Tuple2,F16-Tuple3,F16-TypeInformation[],F16-boolean,F16-Double,F16-String,F16-K,F16-Long,F16-ShortSummaryAggregator,F16-Edge,F16-DoubleValue,F3-NA,F3-getUserCodeClassloader(),F3-Class,F3-ExecutionJobVertex,F3-IntermediateDataSetID,F3-byte,F3-Tuple2,F3-byte[],F3-Tuple1,F3-boolean,F3-char,F3-double,F3-String,F3-T,F3-long,F3-Vertex,F3-Double,F3-Values,F3-int,F3-BooleanValue,F7--,F7-^,F7--=,F7-|=,F7-+=,F7-NA,F7-*,F7-+,F12-long,F12-int,F12-Object,F12-NA,F12-boolean,F12-Logger,F12-var,F12-String,F12-Vertex,F12-Tuple3,F12-Tuple2,F12-double,F12-Tuple4,F12-byte,F12-val,F12-Edge,F12-ByteValue,F12-LongValue,F12-FieldSet,F12-PreparedStatement,F17-static,F17-final,F17-NA,F2-StringBuilder,F2-ChainedReduceCombineDriver<T>,F2-NA,F2-Runtime,F2-ArrayList<Class<? extends Comparable<?>>>,F2-Integer,F2-Math,F2-Object,F2-String,F2-Comparable<T>,F2-AccessibleObject,F2-Timestamp,F2-Double,F2-Configuration,F2-ParameterTool,F2-OutputStream,F2-Set<String>,F2-Calendar,F2-File,F2-TypeExtractor,F6-org.apache.flink.graph.Tuple2,F6-java.util.Random,F6-java.io.BufferedWriter,F6-NA,F6-java.io.FileWriter,F6-org.apache.flink.graph.generator.LongValue,F6-org.apache.flink.graph.library.clustering.undirected.Tuple2,F6-org.apache.flink.graph.library.clustering.directed.ByteValue,F6-org.apache.flink.graph.validation.Tuple1,F6-java.io.PrintWriter,F6-org.apache.flink.graph.library.clustering.directed.LongValue,F6-java.io.File,F6-java.lang.String,F6-org.apache.flink.graph.asm.degree.annotate.directed.Tuple3,F6-org.apache.flink.graph.library.similarity.Tuple4,F6-java.lang.Double,F6-java.util.ArrayList<org.apache.flink.graph.examples.data.Vertex>,F6-org.apache.flink.api.common.operators.util.FieldSet,F6-org.apache.flink.graph.library.link_analysis.Tuple2,F6-org.apache.flink.storm.split.operators.Values,F13-private,F13-NA,F13-public,F13-protected,F18-protected,F18-private,F18-NA,F18-public,F14-static-final,F14-static,F14-NA,F14-final,F1-hasNext,F1-delete,F1-NA,F1-add,F1-getClass,F1-checkNotNull,F1-compare,F1-write,F1-emit,F1-equals,F1-collect,F1-compareTo,F1-getValue,F1-getLogger,F1-put,F1-valueOf,F1-getState,F1-addAll,F1-getTimeInMillis,F1-getBitmask,F5-java.util.AbstractMap,F5-java.lang.ref.Reference,F5-java.lang.Object,F5-NA,F5-java.io.Writer,F5-TypeExtractor,F5-java.io.OutputStreamWriter,F5-java.io.FilterOutputStream,F5-java.io.FilterInputStream,F5-java.security.SecureClassLoader,F5-java.lang.Number,F5-java.util.AbstractList,F5-java.io.Reader,F5-java.lang.RuntimeException,F5-java.util.HashSet,F5-java.io.OutputStream,F5-java.util.AbstractSet,F5-java.text.DateFormat,F9-id,F9-seed,F9-cpuCost,F9-fraction,F9-max,F9-function,F9-diskCost,F9-timestamp,F9-indices,F9-ordering,F9-reference,F9-min,F9-NA,F9-collector,F9-producer,F9-typeInformation,F9-value,F9-partitions,F9-x,F9-y,F10-NA,F10-true,F19-NA,F19-abstract,F19-interface,F15-NA,F15-private,F15-protected,F15-public,F0-NA,F4-NA,F4-Integer,F4-String[],F4-JarEntry,F4-boolean,F4-File[],F4-long,F4-Process,F4-byte[],F4-void,F4-FileSystem,F4-double,F4-List,F4-int,F4-String,F4-Class,F4-AtomicReferenceFieldUpdater,F8-Point,F8-Ordering,F8-CommonRangeBoundaries<T>,F8-LossyCounting,F8-TupleComparatorBase<T>,F8-GenericTypeComparator<T>,F8-ResultPartitionDeploymentDescriptor,F8-PartialInputChannelDeploymentDescriptor,F8-IntermediateResultPartition,F8-GlobalProperties,F8-SampleWithFraction<T>,F8-IntermediateResult,F8-SampleInCoordinator<T>,F8-Costs,F8-PartialOrderPriorityQueue<T>,F8-ExecutionEdge,F8-JobStatusMessage,F8-NA,F8-SampleInPartition<T>,F8-CountMinHeavyHitter,F11-function,F11-vertexCount,F11-LOG,F11-EMPTY_SET,F11-NA,F11-max,F11-aggregates,F11-outEdge,F11-reverse,F11-frequencyError,F11-vertex,F11-edge,F11-min,F11-lowerBound,F11-fieldPosition,F11-serialVersionUID,F11-forward,F11-output,F11-zero,F11-sum,F94,F95,F21,F109,F20,F23,F22,F79,F111,F112,F113,F116,F117,F118,F119,F120,F110,F121,F122,F123,F114,F115,F61,F77,F88,F70,F41,F40,F43,F42,F45,F44,F46,F126,F127,F128,F129,F36,F130,F35,F131,F38,F132,F37,F133,F134,F39,F135,F136,F137,F83,F71-twalthr@apache.org,F71-gyfora@apache.org,F71-sachingoel0101@gmail.com,F71-aljoscha.krettek@gmail.com,F71-chesnay@apache.org,F71-sewen@apache.org,F71-vasilikikalavri@gmail.com,F71-fhueske@apache.org,F71-mxm@apache.org,F71-vasia@apache.org,F71-lungu.andra@gmail.com,F71-code@greghogan.com,F71-kkloudas@gmail.com,F71-stefano@baghino.me,F71-rmetzger@apache.org,F71-tvas@sics.se,F71-uce@apache.org,F71-balijanosdaniel@gmail.com,F71-henry.yijieshen@gmail.com,F71-trohrmann@apache.org,F74,F73,F84,F146,category
18572,org/apache/flink/api/scala/table,org/apache/flink/api/scala/table/package.scala,499,false,0,0,0,2,0,2,1,26,0.7303370786516854,25,55,2.2,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,33,BAD_PRACTICE,0.03423728813559322,NM_METHOD_NAMING_CONVENTION,19,3,1,0.016702752861119705,0.010207237859573151,3.093102381688834E-4,-1.0,0.3203125,0.005063079124273256,0.27146814404432135,0.7212560896656077,-0.3046875,0.0,0.08226997985224983,0.7212560896656077,-0.9310344827586207,-1.0,9,2559,499,18572,81,0.0,0,12,69,93,0.0760319953657763,0,0,0,0,0,0,0,0.0,0,11,0,4,0,0,15,7,0.01770956316410862,497,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,16437,24534,5,15990,close
18572,org/apache/flink/api/scala/table,org/apache/flink/api/scala/table/package.scala,499,false,0,0,0,2,0,2,1,26,0.7303370786516854,25,55,2.2,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,33,BAD_PRACTICE,0.03423728813559322,NM_METHOD_NAMING_CONVENTION,19,3,1,0.016702752861119705,0.010207237859573151,3.093102381688834E-4,0.0,0.3203125,0.005063079124273256,0.27146814404432135,0.7212560896656077,-0.3046875,0.0,0.08226997985224983,0.7212560896656077,-0.9310344827586207,-1.0,9,2559,499,18572,81,0.0,0,12,69,93,0.0760319953657763,0,0,0,0,0,0,0,0.0,0,11,0,4,0,0,15,7,0.01770956316410862,497,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,16437,24534,5,15990,close
18572,org/apache/flink/api/scala/table,org/apache/flink/api/scala/table/package.scala,499,false,0,0,0,2,0,2,1,26,0.7303370786516854,25,55,2.2,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,33,BAD_PRACTICE,0.03423728813559322,NM_METHOD_NAMING_CONVENTION,19,3,1,0.016702752861119705,0.010207237859573151,3.093102381688834E-4,-1.0,0.3203125,0.005063079124273256,0.27146814404432135,0.7212560896656077,-0.3046875,0.0,0.08226997985224983,0.7212560896656077,-0.9310344827586207,-1.0,9,2559,499,18572,81,0.0,0,12,69,93,0.0760319953657763,0,0,0,0,0,0,0,0.0,0,11,0,4,0,0,15,7,0.01770956316410862,497,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,16437,24534,5,15990,close
18572,org/apache/flink/api/scala/table,org/apache/flink/api/scala/table/package.scala,499,false,0,0,0,2,0,2,1,26,0.7303370786516854,25,55,2.2,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,33,BAD_PRACTICE,0.03423728813559322,NM_METHOD_NAMING_CONVENTION,19,3,1,0.016702752861119705,0.010207237859573151,3.093102381688834E-4,0.0,0.3203125,0.005063079124273256,0.27146814404432135,0.7212560896656077,-0.3046875,0.0,0.08226997985224983,0.7212560896656077,-0.9310344827586207,-1.0,9,2559,499,18572,81,0.0,0,12,69,93,0.0760319953657763,0,0,0,0,0,0,0,0.0,0,11,0,4,0,0,15,7,0.01770956316410862,497,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,16437,24534,5,15990,close
18572,org/apache/flink/api/scala/table,org/apache/flink/api/scala/table/package.scala,499,false,0,0,0,2,0,2,1,26,0.7303370786516854,25,55,2.2,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,33,BAD_PRACTICE,0.03423728813559322,NM_METHOD_NAMING_CONVENTION,19,3,1,0.016702752861119705,0.010207237859573151,3.093102381688834E-4,0.0,0.3203125,0.005063079124273256,0.27146814404432135,0.7212560896656077,-0.3046875,0.0,0.08226997985224983,0.7212560896656077,-0.9310344827586207,-1.0,9,2559,499,18572,81,0.0,0,12,69,93,0.0760319953657763,0,0,0,0,0,0,0,0.0,0,11,0,4,0,0,15,7,0.01770956316410862,497,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,16437,24534,5,15990,close
18572,org/apache/flink/api/scala/table,org/apache/flink/api/scala/table/package.scala,499,false,0,0,0,2,0,2,1,26,0.7303370786516854,25,55,2.2,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,33,BAD_PRACTICE,0.03423728813559322,NM_METHOD_NAMING_CONVENTION,19,3,1,0.016702752861119705,0.010207237859573151,3.093102381688834E-4,0.0,0.3203125,0.005063079124273256,0.27146814404432135,0.7212560896656077,-0.3046875,0.0,0.08226997985224983,0.7212560896656077,-0.9310344827586207,-1.0,9,2559,499,18572,81,0.0,0,12,69,93,0.0760319953657763,0,0,0,0,0,0,0,0.0,0,11,0,4,0,0,15,7,0.01770956316410862,497,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,16437,24534,5,15990,close
18572,org/apache/flink/api/scala/table,org/apache/flink/api/scala/table/package.scala,499,false,0,0,0,2,0,2,1,26,0.7303370786516854,25,55,2.2,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,33,BAD_PRACTICE,0.03423728813559322,NM_METHOD_NAMING_CONVENTION,19,3,1,0.016702752861119705,0.010207237859573151,3.093102381688834E-4,0.0,0.3203125,0.005063079124273256,0.27146814404432135,0.7212560896656077,-0.3046875,0.0,0.08226997985224983,0.7212560896656077,-0.9310344827586207,-1.0,9,2559,499,18572,81,0.0,0,12,69,93,0.0760319953657763,0,0,0,0,0,0,0,0.0,0,11,0,4,0,0,15,7,0.01770956316410862,497,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,16437,24534,5,15990,close
18572,org/apache/flink/api/scala/table,org/apache/flink/api/scala/table/package.scala,499,false,0,0,0,2,0,2,1,26,0.7303370786516854,25,55,2.2,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,33,BAD_PRACTICE,0.03423728813559322,NM_METHOD_NAMING_CONVENTION,19,3,1,0.016702752861119705,0.010207237859573151,3.093102381688834E-4,0.0,0.3203125,0.005063079124273256,0.27146814404432135,0.7212560896656077,-0.3046875,0.0,0.08226997985224983,0.7212560896656077,-0.9310344827586207,-1.0,9,2559,499,18572,81,0.0,0,12,69,93,0.0760319953657763,0,0,0,0,0,0,0,0.0,0,11,0,4,0,0,15,7,0.01770956316410862,497,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,16437,24534,5,15990,close
18572,org/apache/flink/api/scala/table,org/apache/flink/api/scala/table/package.scala,499,false,0,0,0,2,0,2,1,26,0.7303370786516854,25,55,2.2,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,33,BAD_PRACTICE,0.03423728813559322,NM_METHOD_NAMING_CONVENTION,19,3,1,0.016702752861119705,0.010207237859573151,3.093102381688834E-4,-1.0,0.3203125,0.005063079124273256,0.27146814404432135,0.7212560896656077,-0.3046875,0.0,0.08226997985224983,0.7212560896656077,-0.9310344827586207,-1.0,9,2559,499,18572,81,0.0,0,12,69,93,0.0760319953657763,0,0,0,0,0,0,0,0.0,0,11,0,4,0,0,15,7,0.01770956316410862,497,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,16437,24534,5,15990,close
18572,org/apache/flink/api/scala/table,org/apache/flink/api/scala/table/package.scala,499,false,0,0,0,2,0,2,1,26,0.7303370786516854,25,55,2.2,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,33,BAD_PRACTICE,0.03423728813559322,NM_METHOD_NAMING_CONVENTION,19,3,1,0.016702752861119705,0.010207237859573151,3.093102381688834E-4,-1.0,0.3203125,0.005063079124273256,0.27146814404432135,0.7212560896656077,-0.3046875,0.0,0.08226997985224983,0.7212560896656077,-0.9310344827586207,-1.0,9,2559,499,18572,81,0.0,0,12,69,93,0.0760319953657763,0,0,0,0,0,0,0,0.0,0,11,0,4,0,0,15,7,0.01770956316410862,497,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,16437,24534,5,15990,close
18572,org/apache/flink/api/scala/table,org/apache/flink/api/scala/table/package.scala,499,false,0,0,0,2,0,2,1,26,0.7303370786516854,25,55,2.2,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,33,BAD_PRACTICE,0.03423728813559322,NM_METHOD_NAMING_CONVENTION,19,3,1,0.016702752861119705,0.010207237859573151,3.093102381688834E-4,-1.0,0.3203125,0.005063079124273256,0.27146814404432135,0.7212560896656077,-0.3046875,0.0,0.08226997985224983,0.7212560896656077,-0.9310344827586207,-1.0,9,2559,499,18572,81,0.0,0,12,69,93,0.0760319953657763,0,0,0,0,0,0,0,0.0,0,11,0,4,0,0,15,7,0.01770956316410862,497,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,16437,24534,5,15990,close
18572,org/apache/flink/api/scala/table,org/apache/flink/api/scala/table/package.scala,499,false,0,0,0,2,0,2,1,26,0.7303370786516854,25,55,2.2,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,33,STYLE,0.1616949152542373,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,20,3,1,0.016702752861119705,0.010207237859573151,3.093102381688834E-4,-1.0,0.35218508997429304,0.006003967167739267,0.3137911781127862,0.3605718930913806,-0.2416452442159383,0.0,0.09435862995298858,0.3605718930913806,-0.9310344827586207,-1.0,9,2559,499,18572,81,0.0,0,12,69,93,0.0760319953657763,0,0,0,0,0,0,0,0.0,0,11,0,4,0,0,15,7,0.01770956316410862,497,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,16437,24534,5,15990,close
